"","market","stop_ship_acct","customer_state_code","count_customer_nk","Date"
"422","PUBL",NA,"IA",551,"2020-05-04"
"423","PUBL",NA,"MN",264,"2020-05-04"
"424","PUBL",NA,"VT",135,"2020-05-04"
"425","PUBL",NA,"ZZ",6,"2020-05-04"
"426","PUBL","N","AP",5,"2020-05-04"
"427","PUBL",NA,"NE",117,"2020-05-04"
"428","PUBL","N","102",1,"2020-05-04"
"429","PUBL","N","PR",3,"2020-05-04"
"430","PUBL","Y","OH",1022,"2020-05-04"
"431","PUBL","N","GA",2911,"2020-05-04"
"432","PUBL","Y","MO",317,"2020-05-04"
"433","PUBL","Y","ND",4,"2020-05-04"
"434","PUBL","N","CA",10559,"2020-05-04"
"435","PUBL","N","ME",1664,"2020-05-04"
"436","PUBL","N","NH",1166,"2020-05-04"
"437","PUBL","N","AK",317,"2020-05-04"
"438","PUBL","Y","MT",33,"2020-05-04"
"439","PUBL","Y","AL",121,"2020-05-04"
"440","PUBL","N","AUS",5,"2020-05-04"
"441","PUBL",NA,"CT",574,"2020-05-04"
"442","PUBL",NA,"FL",722,"2020-05-04"
"443","PUBL",NA,"AR",109,"2020-05-04"
"444","PUBL",NA,"ME",289,"2020-05-04"
"445","PUBL",NA,"NM",137,"2020-05-04"
"446","PUBL",NA,"UT",120,"2020-05-04"
"447","PUBL",NA,"VI",2,"2020-05-04"
"448","PUBL","N","MI",3874,"2020-05-04"
"449","PUBL","Y","WI",290,"2020-05-04"
"450","PUBL","N","ND",388,"2020-05-04"
"451","PUBL","N","ID",393,"2020-05-04"
"452","PUBL","N","MA",4523,"2020-05-04"
"453","PUBL","N","NJ",5104,"2020-05-04"
"454","PUBL","N","CT",2952,"2020-05-04"
"455","PUBL","N","AZ",2434,"2020-05-04"
"456","PUBL","N","UT",526,"2020-05-04"
"457","PUBL","N","TN",2114,"2020-05-04"
"458","PUBL","Y","NJ",1037,"2020-05-04"
"459","PUBL","Y","DC",92,"2020-05-04"
"460","PUBL","Y","NY",4504,"2020-05-04"
"461","PUBL","Y","VT",80,"2020-05-04"
"462","PUBL","N","HI",266,"2020-05-04"
"463","PUBL","N","MT",418,"2020-05-04"
"464","PUBL","Y","OR",104,"2020-05-04"
"465","PUBL",NA,"NJ",857,"2020-05-04"
"466","PUBL",NA,"OH",584,"2020-05-04"
"467","PUBL",NA,"TN",462,"2020-05-04"
"468","PUBL",NA,"WV",61,"2020-05-04"
"469","PUBL",NA,"WA",186,"2020-05-04"
"470","PUBL",NA,"AP",6,"2020-05-04"
"471","PUBL",NA,"ON",1,"2020-05-04"
"472","PUBL","N","OH",3105,"2020-05-04"
"473","PUBL","N","TX",8794,"2020-05-04"
"474","PUBL","Y","IN",1166,"2020-05-04"
"475","PUBL","Y","OK",91,"2020-05-04"
"476","PUBL","Y","TX",610,"2020-05-04"
"477","PUBL","N","MS",642,"2020-05-04"
"478","PUBL","N","LA",837,"2020-05-04"
"479","PUBL","Y","RI",113,"2020-05-04"
"480","PUBL","N","NC",3136,"2020-05-04"
"481","PUBL","N","WY",444,"2020-05-04"
"482","PUBL","Y","CO",213,"2020-05-04"
"483","PUBL","N","OR",924,"2020-05-04"
"484","PUBL","Y","FL",392,"2020-05-04"
"485","PUBL",NA,"RI",100,"2020-05-04"
"486","PUBL",NA,"LA",172,"2020-05-04"
"487","PUBL",NA,"IN",525,"2020-05-04"
"488","PUBL",NA,"TX",1104,"2020-05-04"
"489","PUBL",NA,"MA",879,"2020-05-04"
"490","PUBL",NA,"NH",273,"2020-05-04"
"491","PUBL",NA,"WY",58,"2020-05-04"
"492","PUBL",NA,"OR",172,"2020-05-04"
"493","PUBL",NA,"ND",45,"2020-05-04"
"494","PUBL","N","VI",1,"2020-05-04"
"495","PUBL","N","KS",1464,"2020-05-04"
"496","PUBL","N","SD",343,"2020-05-04"
"497","PUBL","N","MN",1516,"2020-05-04"
"498","PUBL","Y","KY",192,"2020-05-04"
"499","PUBL","N","VA",2071,"2020-05-04"
"500","PUBL","N","VT",769,"2020-05-04"
"501","PUBL","N","PA",3711,"2020-05-04"
"502","PUBL","N","SC",1521,"2020-05-04"
"503","PUBL","Y","CT",553,"2020-05-04"
"504","PUBL","Y","ME",227,"2020-05-04"
"505","PUBL","Y","MA",458,"2020-05-04"
"506","PUBL","N","RI",684,"2020-05-04"
"507","PUBL","Y","NM",63,"2020-05-04"
"508","PUBL","Y","UT",13,"2020-05-04"
"509","PUBL","N","AL",1543,"2020-05-04"
"510","PUBL","Y","TN",126,"2020-05-04"
"511","PUBL","Y","AR",10,"2020-05-04"
"512","PUBL",NA,"MD",189,"2020-05-04"
"513","PUBL",NA,"SC",101,"2020-05-04"
"514","PUBL",NA,"OK",102,"2020-05-04"
"515","PUBL",NA,"MO",311,"2020-05-04"
"516","PUBL",NA,"MT",60,"2020-05-04"
"517","PUBL",NA,"ID",76,"2020-05-04"
"518","PUBL","N","WI",3064,"2020-05-04"
"519","PUBL","N","OK",855,"2020-05-04"
"520","PUBL","Y","IA",72,"2020-05-04"
"521","PUBL","Y","MN",156,"2020-05-04"
"522","PUBL","Y","NE",6,"2020-05-04"
"523","PUBL","N","NM",798,"2020-05-04"
"524","PUBL","N","FL",7217,"2020-05-04"
"525","PUBL","N","DE",538,"2020-05-04"
"526","PUBL","Y","DE",61,"2020-05-04"
"527","PUBL","Y","MD",315,"2020-05-04"
"528","PUBL","Y","PA",656,"2020-05-04"
"529","PUBL","Y","VA",225,"2020-05-04"
"530","PUBL","Y","WV",80,"2020-05-04"
"531","PUBL","N","ZEA",3,"2020-05-04"
"532","PUBL","Y","NV",82,"2020-05-04"
"533","PUBL",NA,"NC",411,"2020-05-04"
"534","PUBL",NA,"DE",159,"2020-05-04"
"535","PUBL",NA,"MS",111,"2020-05-04"
"536","PUBL",NA,"KY",184,"2020-05-04"
"537","PUBL",NA,"MI",765,"2020-05-04"
"538","PUBL",NA,"CO",338,"2020-05-04"
"539","PUBL",NA,"KS",297,"2020-05-04"
"540","PUBL",NA,"NV",73,"2020-05-04"
"541","PUBL","Y","SD",5,"2020-05-04"
"542","PUBL","N","IA",2549,"2020-05-04"
"543","PUBL","N","IL",6059,"2020-05-04"
"544","PUBL","N","MO",1939,"2020-05-04"
"545","PUBL","Y","MS",252,"2020-05-04"
"546","PUBL","N","NV",615,"2020-05-04"
"547","PUBL","N","CO",1767,"2020-05-04"
"548","PUBL","Y","ID",37,"2020-05-04"
